human_time,timestamp,speed_ms
2026-02-18 21:21:12.312,1771417272.312664,2.686418647098553
2026-02-18 21:21:12.562,1771417272.562795,2.6944488818878938
2026-02-18 21:21:12.813,1771417272.813348,2.702130893443089
2026-02-18 21:21:13.063,1771417273.063109,2.7043453088545037
2026-02-18 21:21:13.313,1771417273.313429,2.711677766370963
2026-02-18 21:21:13.563,1771417273.563176,2.7294807863552015
2026-02-18 21:21:13.812,1771417273.81295,2.741114727407887
2026-02-18 21:21:14.063,1771417274.063762,2.737556550849417
2026-02-18 21:21:14.313,1771417274.313533,2.7416967806607597
2026-02-18 21:21:14.563,1771417274.563505,2.7364450969617127
2026-02-18 21:21:14.813,1771417274.813628,2.7704815404306995
2026-02-18 21:21:15.063,1771417275.06368,2.7736709861905426
