human_time,timestamp,x,y,z,qx,qy,qz,qw
2026-02-18 21:22:07.257,1771417327.257066,-5.906211192574525,-0.6753469132162179,0.0,0.0,0.0,0.9885597919865663,0.15082949866480633
2026-02-18 21:22:07.267,1771417327.267063,-5.936724520161869,-0.6613680636762621,0.0,0.0,0.0,0.9887694259895883,0.14944906231964133
2026-02-18 21:22:07.277,1771417327.277049,-5.9682582922736795,-0.6469541858428121,0.0,0.0,0.0,0.9889771323773321,0.14806833434164426
2026-02-18 21:22:07.287,1771417327.287317,-5.999956400069607,-0.6325070602962546,0.0,0.0,0.0,0.9891829106645781,0.14668731795609785
2026-02-18 21:22:07.297,1771417327.297099,-6.031579295322807,-0.6181276624316782,0.0,0.0,0.0,0.9893867605076022,0.14530601547173655
2026-02-18 21:22:07.307,1771417327.307065,-6.062695687775803,-0.6040175422759116,0.0,0.0,0.0,0.989576117952508,0.14401078701973646
2026-02-18 21:22:07.317,1771417327.317259,-5.95085878473756,-0.8385337925506118,0.0,0.0,0.0,0.9897762302441917,0.14262893831055784
2026-02-18 21:22:07.327,1771417327.327089,-5.983116768900101,-0.8249453117659543,0.0,0.0,0.0,0.9899620831006385,0.14133320212548955
2026-02-18 21:22:07.337,1771417327.337168,-6.014557667729409,-0.8117313748233266,0.0,0.0,0.0,0.9901584563945687,0.13995081718348423
2026-02-18 21:22:07.347,1771417327.347097,-6.044779077090136,-0.7990610834426116,0.0,0.0,0.0,0.9903408032353668,0.13865458321717503
2026-02-18 21:22:07.357,1771417327.357156,-6.075053440698698,-0.7863924551900073,0.0,0.0,0.0,0.9905334361129735,0.13727167203114343
2026-02-18 21:22:07.367,1771417327.367084,-6.1062421842724355,-0.77336897562755,0.0,0.0,0.0,0.9907122756622975,0.13597494935476873
2026-02-18 21:22:07.377,1771417327.377068,-6.1378288739202125,-0.7602021274108517,0.0,0.0,0.0,0.9909011667125263,0.13459152205006908
2026-02-18 21:22:07.387,1771417327.387091,-6.1692743362070335,-0.747127169979608,0.0,0.0,0.0,0.9910764976224765,0.13329432043551367
2026-02-18 21:22:07.397,1771417327.397121,-6.201199157808388,-0.7338792757438853,0.0,0.0,0.0,0.9912616454597925,0.13191038715864947
2026-02-18 21:22:07.407,1771417327.407151,-6.233091137534797,-0.7206789576683852,0.0,0.0,0.0,0.9914334664609418,0.1306127160013171
2026-02-18 21:22:07.417,1771417327.417113,-6.264261783951152,-0.7078036604112637,0.0,0.0,0.0,0.9916035886678658,0.12931482104155717
2026-02-18 21:22:07.427,1771417327.427125,-6.29516151947286,-0.6950739952415654,0.0,0.0,0.0,0.9917720117653764,0.1280167046867631
2026-02-18 21:22:07.437,1771417327.437105,-6.3274727157752935,-0.6817849897938795,0.0,0.0,0.0,0.9919387355269985,0.126718368680706
2026-02-18 21:22:07.447,1771417327.447098,-6.35905965554418,-0.6688165044207446,0.0,0.0,0.0,0.9921037596026899,0.12541981574778402
2026-02-18 21:22:07.457,1771417327.457112,-6.391328345458726,-0.6555978200285837,0.0,0.0,0.0,0.9922670837405956,0.12412104787236496
2026-02-18 21:22:07.467,1771417327.467114,-6.423173778548402,-0.6425728235659104,0.0,0.0,0.0,0.9924287076536328,0.12282206733702294
2026-02-18 21:22:07.477,1771417327.477044,-6.456580636527859,-0.6289199408504376,0.0,0.0,0.0,0.9925780224482461,0.12160949532305884
2026-02-18 21:22:07.487,1771417327.487086,-6.488227136072049,-0.6159996643478138,0.0,0.0,0.0,0.9927363584504809,0.12031011017565515
2026-02-18 21:22:07.497,1771417327.497093,-6.51987495385743,-0.6031011128565349,0.0,0.0,0.0,0.9928929934583993,0.11901051861587264
2026-02-18 21:22:07.507,1771417327.507077,-6.5527951813014225,-0.5897071323695748,0.0,0.0,0.0,0.9930376512250079,0.1177973821844939
2026-02-18 21:22:07.517,1771417327.517088,-6.5853017964174745,-0.5764942346332794,0.0,0.0,0.0,0.9931808267137077,0.11658407030240513
2026-02-18 21:22:07.527,1771417327.527091,-6.617706306441987,-0.5633345153457269,0.0,0.0,0.0,0.9933225197724521,0.115370584261789
2026-02-18 21:22:07.537,1771417327.53709,-6.65169879032731,-0.5495436769851739,0.0,0.0,0.0,0.9934726884474053,0.11407022972311755
2026-02-18 21:22:07.547,1771417327.547147,-6.684897264835279,-0.5360808311307044,0.0,0.0,0.0,0.9936113100646933,0.11285638888217119
2026-02-18 21:22:07.557,1771417327.557015,-6.716803214245704,-0.523144961684643,0.0,0.0,0.0,0.9937484485590048,0.11164237988582594
2026-02-18 21:22:07.567,1771417327.567195,-6.5647985092639125,-0.7554509954057703,0.0,0.0,0.0,0.9938841037883247,0.11042820399190872
2026-02-18 21:22:07.576,1771417327.576975,-6.597488084305957,-0.7430763085205514,0.0,0.0,0.0,0.9940182755164773,0.10921386331070194
2026-02-18 21:22:07.587,1771417327.587184,-6.6297083437870965,-0.7308733910210935,0.0,0.0,0.0,0.9941509635377471,0.10799935970629142
2026-02-18 21:22:07.597,1771417327.597152,-6.661847141948077,-0.7187057592042427,0.0,0.0,0.0,0.9942728451678433,0.10687146186818053
2026-02-18 21:22:07.607,1771417327.607219,-6.693657949197583,-0.7066537264098859,0.0,0.0,0.0,0.9944026712090798,0.10565664906784972
2026-02-18 21:22:07.617,1771417327.617163,-6.726069963402405,-0.6943665135313575,0.0,0.0,0.0,0.99452189496228,0.10452846713042199
2026-02-18 21:22:07.627,1771417327.627115,-6.7583180397084455,-0.6821333835236907,0.0,0.0,0.0,0.9946488583065105,0.10331335184551482
2026-02-18 21:22:07.637,1771417327.637046,-6.790546978490771,-0.6698992133373353,0.0,0.0,0.0,0.994765423515481,0.10218489212239544
2026-02-18 21:22:07.647,1771417327.64713,-6.8263958305827215,-0.6562618523892764,0.0,0.0,0.0,0.9948895234864843,0.10096948081888957
2026-02-18 21:22:07.657,1771417327.657114,-6.858814741277193,-0.6439138473257614,0.0,0.0,0.0,0.9950034294780217,0.09984074983179751
2026-02-18 21:22:07.667,1771417327.667003,-6.89268544912667,-0.6309944843331919,0.0,0.0,0.0,0.9951160549153646,0.09871189011300095
2026-02-18 21:22:07.677,1771417327.677161,-6.924642367548833,-0.6187906961890108,0.0,0.0,0.0,0.9952273996059169,0.0975829035930198
2026-02-18 21:22:07.687,1771417327.687125,-6.957834022703562,-0.6061098051350052,0.0,0.0,0.0,0.995337463451594,0.09645379126683806
2026-02-18 21:22:07.697,1771417327.697247,-6.990687569187486,-0.5935459522068236,0.0,0.0,0.0,0.995446246274509,0.09532455495825617
2026-02-18 21:22:07.707,1771417327.707191,-7.023761886405769,-0.580882196983246,0.0,0.0,0.0,0.995553747960491,0.09419519585318109
2026-02-18 21:22:07.717,1771417327.717182,-7.05693074008149,-0.5681652162406112,0.0,0.0,0.0,0.9956518430610994,0.09315260280333469
2026-02-18 21:22:07.727,1771417327.727216,-7.090138095786665,-0.555413082459466,0.0,0.0,0.0,0.9957568805976532,0.09202301202650841
2026-02-18 21:22:07.737,1771417327.737122,-7.123500216956069,-0.5425944504854074,0.0,0.0,0.0,0.9958527008809284,0.09098020745283177
2026-02-18 21:22:07.747,1771417327.74721,-7.156905890576521,-0.5297435612468859,0.0,0.0,0.0,0.9959552737828972,0.08985039022750213
2026-02-18 21:22:07.757,1771417327.757141,-7.1904801181593045,-0.5168247257852243,0.0,0.0,0.0,0.9960488187986613,0.0888073790278239
2026-02-18 21:22:07.767,1771417327.767215,-7.224097067314888,-0.5038697357297789,0.0,0.0,0.0,0.9961412715026975,0.08776427068567949
2026-02-18 21:22:07.777,1771417327.77726,-7.257331583445597,-0.49105040962025265,0.0,0.0,0.0,0.9962326318221092,0.0867210660266221
2026-02-18 21:22:07.787,1771417327.787245,-7.2918306817803575,-0.47773526841011515,0.0,0.0,0.0,0.9963228996543,0.08567776621999301
