human_time,timestamp,x,y,vx,yaw
2026-02-18 21:21:09.462,1771417269.462378,-35.23234248563123,-8.43591612112761,2.68526974428607,-2.496462005970841
2026-02-18 21:21:09.472,1771417269.472489,-35.25377888439423,-8.45203638796936,2.68526974428607,-2.496809943101452
2026-02-18 21:21:09.482,1771417269.48244,-35.27525313543871,-8.468173425212381,2.68526974428607,-2.4971579020202856
2026-02-18 21:21:09.492,1771417269.492518,-35.29674856247307,-8.484314250868252,2.68526974428607,-2.4975184859151387
2026-02-18 21:21:09.502,1771417269.502598,-35.318299836208276,-8.50048518947632,2.68526974428607,-2.497869352914289
2026-02-18 21:21:09.512,1771417269.512706,-35.33979065887008,-8.516599083357628,2.68526974428607,-2.4982173216742942
2026-02-18 21:21:09.523,1771417269.523373,-35.36206279543962,-8.533286704427448,2.68526974428607,-2.498565312361251
2026-02-18 21:21:09.532,1771417269.532775,-35.38297485340096,-8.54893770855172,2.68526974428607,-2.4991034596722157
2026-02-18 21:21:09.542,1771417269.542299,-35.4044092632768,-8.564968859611083,2.68526974428607,-2.499426251705165
2026-02-18 21:21:09.552,1771417269.552857,-35.42621335289735,-8.581264671383547,2.68526974428607,-2.4997742426056253
2026-02-18 21:21:09.562,1771417269.562411,-35.447513771742024,-8.5971724558184,2.68526974428607,-2.5001236558705155
2026-02-18 21:21:09.572,1771417269.572264,-35.46900290814481,-8.613203220657994,2.674547813939096,-2.5006603778591066
2026-02-18 21:21:09.582,1771417269.582633,-35.49063758089267,-8.629332159957157,2.674547813939096,-2.500969132425886
2026-02-18 21:21:09.592,1771417269.59222,-35.51166140568294,-8.64499381952677,2.674547813939096,-2.501332570920045
2026-02-18 21:21:09.602,1771417269.602296,-35.53299911367092,-8.660877762310061,2.674547813939096,-2.5016805766253523
2026-02-18 21:21:09.612,1771417269.612275,-35.55452960331795,-8.676887164439115,2.674547813939096,-2.50222018137341
2026-02-18 21:21:09.622,1771417269.622296,-35.57602119604941,-8.692856970476232,2.674547813939096,-2.502540072208686
2026-02-18 21:21:09.632,1771417269.632488,-35.597840536848935,-8.709057109887137,2.674547813939096,-2.5029301550323977
2026-02-18 21:21:09.642,1771417269.642439,-35.619276222718774,-8.724962087457174,2.674547813939096,-2.5032403026420518
2026-02-18 21:21:09.652,1771417269.652674,-35.640781740383645,-8.740901359758555,2.674547813939096,-2.503765904299743
2026-02-18 21:21:09.662,1771417269.662295,-35.6621805590163,-8.756750064666933,2.674547813939096,-2.504112411652759
2026-02-18 21:21:09.672,1771417269.672435,-35.683593361575255,-8.772597027829443,2.674547813939096,-2.5044773850000452
2026-02-18 21:21:09.682,1771417269.682494,-35.704989830162134,-8.78841996645371,2.674547813939096,-2.504837925879284
2026-02-18 21:21:09.692,1771417269.692435,-35.72643914505086,-8.804263667080978,2.674547813939096,-2.505390253536529
2026-02-18 21:21:09.702,1771417269.702367,-35.74784953447323,-8.820066690258567,2.674547813939096,-2.5057507016956926
