x,y
43.88673069413985,-17.69035461460294
44.357895687740715,-17.898475374970992
44.84021098154476,-18.085850626776658
45.33286521282662,-18.21097719009341
45.82541618069986,-18.306100396114402
46.339925883779756,-18.37205561234942
46.853037229937264,-18.45427619866024
47.336326860132395,-18.61029089924639
47.8009521809601,-18.80555938931963
48.27858476359943,-18.95508034881554
48.76047532128011,-19.13547000975655
49.20096323019967,-19.386020015765258
49.671716517786024,-19.59638174285329
50.13517912392668,-19.79571107245039
50.580592184063924,-20.03641090498033
51.00864060909072,-20.318501760799638
51.410725675122926,-20.634565173423272
51.907824011046245,-20.754364049670837
52.37340325838026,-20.969810361836466
52.86406687471073,-21.13436741842594
53.361636503211976,-21.062008526897653
53.85401594793322,-21.156178950859985
54.349324114323224,-21.2474410830258
54.843393636458856,-21.338106933058302
55.34206991948671,-21.431177310959068
55.85488376552636,-21.41630431024964
56.34589136950465,-21.54293771149121
56.836078286709956,-21.647766113002433
57.353895647311816,-21.64787995245879
57.86382032262102,-21.711531540913192
58.37850883147221,-21.754554815353387
58.87767203394017,-21.818087342384445
59.363000948851415,-21.940261553797978
59.88192427404135,-22.022935210897963
60.37450970041405,-22.129130314414912
60.969065684242544,-22.055960983578487
61.47320984812236,-22.069549298430623
61.98401227700846,-22.083287346064992
62.483982052266505,-22.108793258977602
63.000847455045516,-22.12373454305739
63.50979126352176,-22.156872781872515
64.01134505771188,-22.166722705167
64.52469815172229,-22.179817596616083
65.0269755673424,-22.193115799374752
65.54510902599728,-22.2094212237444
66.06281176536818,-22.24695999564436
66.56794509079371,-22.274574887351513
67.01224275995911,-22.515128622783397
67.51719549883468,-22.608298728426025
68.01900691292822,-22.6999545490475
68.51470502134404,-22.797719040887774
69.00228977184163,-22.92991621710809
68.98830815291181,-23.47260832687328
69.48692331220415,-23.379786939119164
69.45272806144679,-24.00660964217075
69.96508967307727,-23.944079165452862
69.85110756231585,-24.616976345494777
70.36207011512285,-24.541257946420288
70.27718807712345,-25.217330552701945
70.77896673249121,-25.142531180703223
70.66791561620619,-25.80891631663984
71.17995523696209,-25.722240161082098
70.83173642020981,-26.111072109998045
71.32887154815828,-26.02795961727518
70.95939024099494,-26.41741915055309
71.42019232098762,-26.63057452262336
71.28824400965271,-27.35081428124168
71.79218537661426,-27.347048196990293
71.59014553484252,-27.994022531183028
72.09656363119973,-27.98631101511985
71.72768012536667,-28.430615948413045
72.24371674992365,-28.45453345199922
71.72110543667439,-28.603378032846976
71.32299644618469,-29.090454078903083
70.75969640547098,-29.231429439095354
70.22799332244382,-29.27581690013747
69.73054799056482,-29.329123090285936
69.37579881164288,-29.687220499742224
69.1558577335565,-30.146484201611287
