x,y,alt
477815.364817,3964505.840626,88.777
477815.203286,3964506.262498,88.770
477814.987558,3964506.684507,88.788
477814.780863,3964507.106492,88.757
477814.519832,3964507.473158,88.760
477814.222726,3964507.862097,88.743
477813.907444,3964508.206717,88.716
477813.555975,3964508.529244,88.725
477813.231604,3964508.851704,88.760
477812.852898,3964509.118844,88.754
477812.465187,3964509.397098,88.704
477812.059216,3964509.597759,88.703
477811.644240,3964509.809534,88.747
477811.229180,3964509.988035,88.772
477810.759813,3964510.122308,88.755
477810.281385,3964510.245512,88.749
477809.793785,3964510.313283,88.741
477809.324279,3964510.392100,88.737
477808.827619,3964510.448803,88.746
477808.340047,3964510.527665,88.740
477807.870540,3964510.606482,88.713
477807.373797,3964510.629912,88.702
477806.859155,3964510.719933,88.696
477806.353406,3964510.754476,88.685
477805.847685,3964510.800111,88.692
477805.360113,3964510.878973,88.701
477804.863370,3964510.902403,88.705
477804.384775,3964510.959060,88.729
477803.915130,3964510.982422,88.700
477803.454628,3964511.050125,88.680
477802.994099,3964511.106737,88.683
477802.497383,3964511.141258,88.720
477802.018788,3964511.197916,88.730
477801.558231,3964511.243437,88.702
477801.088641,3964511.288981,88.680
477800.600930,3964511.312388,88.707
477800.122169,3964511.302498,88.750
477799.670616,3964511.336906,88.763
477799.273233,3964511.360086,88.761
477798.912119,3964511.438631,88.717
477798.587025,3964511.472721,88.670
477798.225744,3964511.484720,88.699
477797.774220,3964511.530219,88.739
477797.295597,3964511.575785,88.704
477796.798881,3964511.610306,88.711
477796.320315,3964511.678055,88.706
477795.823571,3964511.701485,88.718
477795.317878,3964511.758211,88.730
477794.794037,3964511.781709,88.723
477794.288344,3964511.838436,88.736
477793.782651,3964511.895162,88.723
477793.276930,3964511.940797,88.725
477792.798364,3964512.008546,88.719
477792.310681,3964512.043045,88.734
477791.850151,3964512.099658,88.775
477791.335370,3964512.134224,88.782
477790.829622,3964512.168768,88.780
477790.287854,3964512.247768,88.780
477789.773017,3964512.260152,88.770
477789.276385,3964512.327947,88.798
477788.761548,3964512.340332,88.777
477788.237734,3964512.374921,88.779
477787.731958,3964512.398374,88.767
477787.217205,3964512.444032,88.768
477786.738527,3964512.467417,88.741
477786.259821,3964512.479711,88.776
477785.781198,3964512.525279,88.777
477785.320558,3964512.537527,88.771
477784.914253,3964512.605095,88.758
477784.525902,3964512.628254,88.800
477784.173682,3964512.651321,88.742
